French,English
pensais,thought
demande,request
mois,month
laisser,let
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
bébé,baby
heures,hours
vont,will
aucune,any
place,square
parle,speak
savais,knew
étaient,were
affaire,case
donner,give
leurs,their
donné,given
corps,body
endroit,place
façon,way
dont,whose
trouve,find
perdu,lost
main,hand
côté,side
vieux,old
sois,be
tiens,here
tellement,so much
venu,came
suite,after
venez,come
vers,towards
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
espère,hope
arrêter,Stop
compte,account
donne,given
loin,far
gros,large
plutôt,rather
aura,will have
filles,girls
